query	idx
갭투자	[174]
건물	[163, 168]
건물 매입	[179]
건설	[167, 185, 189]
건설 시행	[165]
건설사	[162, 165, 167]
건축	[172]
검토	[146]
게임 기획	[76]
게임 데이터	[9]
경공매	[176]
경매	[163, 163, 180, 190]
경영	[117, 147, 151]
경영 분석	[141]
경제	[118, 179]
경제적 자유	[174]
계량 투자	[161]
계약서	[172]
고객	[49, 63, 70, 72, 81, 92, 98]
고객 경험	[92]
고객 데이터 분석	[2, 13]
고상철	[168, 186]
고수익	[173]
공경매	[187]
공급	[164]
공기업	[158]
공동 주택	[167, 172]
공모주	[145, 154, 157]
공실	[166, 181]
공유 오피스	[181]
공인 중개사	[168]
공인중개사	[190]
공장 창고 개발	[182]
공통 투자	[175]
광고	[102]
교수	[179, 180]
구글	[64]
구글플레이	[76]
구조화	[158]
권리	[151]
권리 분석	[163]
그로스	[38, 78]
그로스 마케팅	[38]
근린 상가	[183]
글쓰기	[56, 87]
금융	[126, 132, 137, 158, 160, 165, 166, 167, 177, 185, 188]
금융 공학	[160]
금융 커리어	[184]
금전 대부업	[176]
기획	[44, 82]
김계숙	[46]
김성일	[156, 160]
김수환	[172]
김승욱	[39]
김승태	[166]
김영민	[81]
김옥철	[146]
김용훈	[50]
김윤재	[45]
김윤혁	[51]
김정수	[62]
김준하	[136, 175, 178]
김현일	[185, 189]
김형준	[128, 134, 138]
꼬마 빌딩	[174, 183]
낙찰	[187]
네이버	[107]
네카라쿠배	[54, 57, 67, 73, 74]
네트워킹	[128, 136, 163]
노션	[100]
다니엘	[151]
담보	[121]
당첨	[164]
대규모언어모델	[5, 8]
대기업	[3]
대부 중개업	[176]
대부업	[176]
대시보드	[78, 89]
대지	[186]
대체 투자	[177, 184, 188]
대출	[139, 171, 182, 183, 185]
대출 투자	[170]
대표	[44, 163]
더휴식	[136, 175, 178]
데이터	[1, 144]
데이터 러티러시	[75]
데이터 리터러시	[28, 31]
데이터 베이스	[10]
데이터 분석	[9, 16, 19, 32, 33, 36, 63, 69, 75, 78, 89, 91, 94, 103, 104, 105]
데이터 분석가	[1, 15, 25, 36, 69, 89, 133, 143, 149]
데이터 사이언스	[37]
데이터 사이언티스트	[37]
데이터 엔지니어링	[21, 25]
데이터 전처리	[11]
데이트레이딩	[134]
동시 통역	[55]
드림에셋 부동산 중개	[187]
디벨로퍼	[168, 174, 178, 180, 183, 186]
디자이너	[86]
디자인	[110]
딥러닝	[7, 20, 27]
락홀릭	[91]
랭체인	[3]
레버리지	[182, 183]
로그	[1]
로지컬	[42]
루시아홀딩스	[185, 189]
리드	[96]
리멤버	[39]
리모델링	[166, 172, 175]
리스크 헷지	[181]
리츠	[184]
리크루터	[68]
리테일	[170]
리텐션	[49]
마케터	[1, 50, 61, 65, 71, 78, 79, 98]
마케팅	[50, 61, 65, 70, 71, 78, 79, 81, 88, 94, 98, 102]
마케팅 분석	[38, 61]
마케팅 성과	[38]
마케팅 전략	[38]
마티니	[38]
매각	[171]
매도	[116, 120, 123, 128, 153, 156, 159]
매매	[134, 138, 142, 150, 152, 154]
매매 패턴	[138]
매수	[116, 120, 123, 128, 156, 159]
매입	[177, 178, 188]
매출	[70, 71, 146, 167, 193]
머신러닝	[7, 11, 12, 23, 33, 37, 155]
멀티모달	[3, 17]
면접	[80, 83]
모델	[137]
모델링	[11, 127]
모요	[1]
모의 입찰	[163]
몬테카를로	[137]
문천수	[172]
물류	[170]
물류센터	[165]
미국 주식	[131]
미스터홈즈 FC	[168, 186]
민감도	[167]
바이오	[20, 130]
바이오 딥러닝	[22]
박동흠	[122, 145, 148, 153, 157]
박세희	[172]
발롱블루	[142]
배달의 민족	[57]
배민	[57]
배민1	[57]
백엔드	[73]
백테스트	[144]
백테스팅	[140, 155, 156, 159, 160, 161]
법인	[173]
베인앤컴퍼니	[42]
벤처기업	[62]
벨류에이션	[133]
변동	[152]
변호사	[151, 172]
보고서	[31, 42, 87, 143, 148]
복리	[176]
복리 수익	[161]
부동산	[129, 151, 187, 190, 193]
부동산 개발	[175, 180, 189]
부동산 경매 실전	[187]
부동산 공법	[186]
부동산 금융	[184, 185]
부동산 리츠	[170]
부동산 물건	[179]
부동산 신탁사	[184]
부동산 중개법인	[182]
부동산 투자	[139, 163, 176, 177, 186, 188]
부동산 투자 운용	[184]
부동산 투자 전략	[179]
부실 채권	[176]
부업	[107]
부지	[168, 178, 182]
북극성	[94]
분담금	[162]
분석	[130, 148, 153, 155]
분석 설계	[1]
분양	[162, 168, 180]
브랜드 전략	[65]
브랜딩	[65]
브이로그	[99]
블록체인	[77, 84]
비즈니스	[85, 109, 132, 141]
비즈니스캔버스	[45]
비트코인	[150]
빅데이터	[14, 19, 32, 155]
빌라	[190]
사업	[121, 193]
사업 관리	[162]
사업 구조	[169]
사업 분석	[178]
사업 수지	[167]
사업 수지 분석	[172, 189]
사업 주시 분석	[169]
사업 타당성	[185]
사업 타당성 분석	[177, 188]
사업석 분석	[162]
상가	[181, 183]
상가 주택	[173]
상업용	[177, 184, 188]
상장	[152]
상품 구조화	[184]
생명공학	[130]
생성형 AI	[8]
생성형AI	[3]
석덕구	[174]
선형대수	[7]
설계	[149]
성공지표	[39]
성과	[93, 95, 97]
세금	[168, 173]
세미나	[72]
세제	[151]
소규모	[168, 182]
소규모 개발	[174]
소액 투자	[181, 182, 186, 187, 190]
손성현	[172]
손익	[149]
송준혁	[166]
송태호	[48]
숀군	[182, 183]
수급사	[165]
수익	[134, 150, 151, 153, 154, 156, 159, 163, 166, 183, 193]
수익 창출	[139]
수익률	[166, 168]
수익률 분석	[179]
수익형 부동산	[178, 181]
수지 분석	[167, 185]
숙박	[175, 193]
스마트 컨트랙트	[77]
스마트스토어	[107]
스마트컨트랙트	[84]
스타트업	[5, 44, 62]
스페이스플래닝	[175]
스프레드 시트	[28, 103, 104, 105]
스프레드시트	[79]
슬랙	[100]
시각화	[16, 36, 63, 69]
시계열	[27]
시계열 분석	[4]
시공	[185]
시공사	[162, 167, 169]
시니어 PM	[39]
시드	[163]
시리즈	[117]
시세 차익	[182, 183]
시장	[152]
시행	[169, 185, 189]
시행사	[162, 165, 167]
신고	[171]
신사업	[146, 169, 172]
신사업 전략	[42]
신약개발	[130]
신입	[59]
신축	[174]
신탁	[169, 185]
신탁 공매	[180]
신탁사	[162]
실리콘밸리	[64, 71]
실사	[171]
심선보	[166]
심의	[125, 185]
아파치 카프카	[14]
아파트	[139, 164, 174]
안상준	[3]
안철진	[179, 180]
알고리즘	[7, 137, 154, 155]
알고투자	[135]
애널리스트	[130, 137]
애자일	[55, 85, 97, 109]
앰플리튜드	[38]
약학	[130]
업무	[100, 103, 104, 105, 106, 108]
업밸류	[163]
에버벤처스	[173]
에어비앤비	[193]
에어비엔비	[193]
엑셀	[79, 103, 104, 105, 126, 137, 149, 158, 161, 162, 167, 169, 170]
엑셀 분석	[177, 188]
엑셀러레이팅	[139]
엔지니어	[3, 6]
엘라스틱 스택	[19]
연금	[137]
영상편집	[113, 114]
영어	[99]
영업	[45, 60]
오재석	[82]
오피스	[165, 170]
오픽	[99]
온보딩	[59, 80]
와들	[8]
우승준	[49]
운용	[129, 171]
원티드	[47, 52]
웨비나	[55]
웨스트머니	[164]
위키독스	[3]
유부장	[155]
유선기	[176]
유투브	[140]
유튜버	[113, 114]
유튜브	[113, 114, 140]
유튭	[113, 114, 140]
윤명훈	[47]
은행	[127, 131]
의료 데이터	[20]
의료 인공지능	[20, 22]
의사	[22]
의사소통	[60]
이거 폐강	[43]
이력서	[66]
이영욱	[187]
이윤홍	[162]
이재경	[175]
이진선	[56]
이진선 작가	[56]
이터레이션	[39]
이하나	[52]
이항	[115]
인공지능	[3, 20, 22, 24, 29, 35]
인베스팅	[147, 159]
인사	[47, 52, 53, 80, 83]
인사 담당	[40]
인사담당	[48]
인수	[126]
인스타	[90]
인프라	[129]
인허가	[162, 172, 185]
임광빈	[1]
임대	[168, 181, 182]
임대 소득	[182]
임대 수익	[180]
임대 주택	[170]
임대료	[166]
임장	[163, 175]
임진환	[57]
입지 분석	[166]
자금	[151]
자동 매매	[155]
자본조달	[166]
자산	[115, 156, 161, 173]
자산 배분	[135, 160]
자산 신탁	[169]
자산 운용	[137, 158, 160, 167, 169, 170, 171]
자산 운용사	[177]
자산운용사	[188]
자연어 처리	[3]
자연어처리	[6, 26, 34]
장규석	[10]
장기 투자	[131, 186]
장영한	[123, 131, 150]
장철원	[7]
재개발	[162]
재건축	[162]
재무	[149, 155]
재무 관리	[141]
재무 모델	[133, 177, 188]
재무 모델링	[170, 184]
재무 분석	[162]
재무 재표	[152]
재무제표	[145]
재테크	[136, 157, 182, 187, 190, 193]
저평가	[145]
적금	[153]
전략	[146, 155, 156]
전략 보고서	[42]
전략 컨설턴트	[42]
전략 컨설턴트 	[44]
전략 프로젝트	[42]
전략기획	[42]
전민건	[163]
전환율	[49]
절세	[173]
정부	[162]
정비	[172]
정비 사업	[162]
정우석	[175]
제약	[130]
제품 개선	[39]
조대표	[154, 155]
조직	[51]
종목	[148, 155]
주가	[155]
주거	[168, 178]
주식	[116, 118, 120, 122, 123, 130, 145, 157, 158]
주식 투자	[128]
주식광장	[142]
주택	[168, 186, 186]
주현우	[5]
증권	[130, 152, 155, 159, 165, 169, 185]
지분투자	[170]
지역 분석	[187]
지출	[167]
지팀장	[181]
지표	[1, 93, 95, 144]
직장인	[87]
집짓는프렌디	[174]
차트	[152]
차트 분석	[142]
차트랭귀지	[134]
창업	[62, 181, 193]
창출	[163]
채용	[47, 53, 80, 83]
챗봇	[3, 5, 6, 8]
청약	[145, 164]
최원영	[14]
최정원	[132, 141]
최종일	[182]
추세	[123, 142, 150]
추천시스템	[12, 24, 29]
취업	[64, 66]
카카오	[2, 21, 73, 74]
캐시 플로우	[169]
캐피탈	[185]
캠페인 성과	[38]
커뮤니케이션	[60]
컨설턴트	[44, 58]
컨설팅	[163, 164, 164, 172, 187]
컨설팅펌	[42]
컴퓨터비전	[17, 18, 30]
코인	[128]
코칭	[183]
쿠팡	[54, 67]
쿠팡 PM	[39]
퀀터스	[4, 135, 140]
퀀트	[124, 144]
퀀트 모델	[144]
퀀트 투자	[159, 161]
클라우드	[21]
클로징	[171]
타이밍	[142]
태블로	[69, 89]
택소노미	[38]
택시	[74]
테크 리쿠르팅	[40]
토스	[54]
토익	[99]
토지	[178, 186]
토지 매입	[162]
토지 투자	[186]
토플	[99]
통계	[91]
투자	[84, 117, 118, 120, 124, 125, 128, 130, 141, 146, 151, 152, 154, 155, 156, 157, 166, 171, 173, 178, 182]
투자 개발	[183, 184]
투자 성과	[138]
투자 유치	[147]
투자 자산	[143]
투자 전략	[160]
투자 전략 설계	[190]
투자자	[132]
트랜스포머	[24, 29]
트레이더	[134, 138, 155]
트레이딩	[131, 150, 154, 158, 159]
티움 부동산	[190]
팀빌딩	[59]
팀장	[96]
파생 상품	[143]
파워포인트	[42]
파이낸셜	[127]
파이낸스	[119]
파이썬	[16, 36, 37, 158]
파이썬 딥러닝	[4]
파이프라인	[14]
파인 튜닝	[3]
판매	[45]
팩터	[140, 147, 156, 159]
펀드	[124, 147, 184]
펀드 매니저	[137, 159]
페이지	[92]
평가	[143]
포토샵	[86, 101, 112]
포토폴리오	[135]
포트폴리오	[33, 129, 147, 159, 160]
풀퍼널	[38, 70]
프라이싱 전략	[46]
프랜차이즈	[166]
프로그래밍	[154]
프로덕트	[1, 15]
프로덕트 매니저	[39]
프로덕트 분석	[38]
프로덕트 분석가	[15]
프로세스	[147]
프롬프트 엔지니어링	[3]
피그마	[101, 112]
피엠	[41, 66, 67, 73, 74, 76, 82, 95]
피오	[41, 67, 73, 74, 76, 82, 95]
피피티	[106, 108]
핀터스텔라	[144, 158]
하락	[142]
해외	[131, 134]
해외 부동산	[171]
해외 주식	[122]
해외 투자	[171]
해외장	[122]
핵심 인재	[51]
허깅페이스	[3]
헤지펀드	[179, 180]
현금	[157, 167, 183]
현금 	[189]
호종훈	[166]
호텔	[170]
홍현	[190]
회계	[111, 115, 117, 119, 122, 146, 157]
회계 법인	[143, 145, 146, 148, 153]
회계사	[119, 157]
회사	[153]
